Red,Green,Blue,Color,,,,,,Name,Hex,Red,Green,Blue
128,0,0,,,,,,," 	maroon	","800000	",128,0,0
139,0,0,,,,,,," 	dark red	","8B0000	",139,0,0
165,42,42,,,,,,," 	brown	","A52A2A	",165,42,42
178,34,34,,,,,,," 	firebrick	","B22222	",178,34,34
220,20,60,,,,,,," 	crimson	","DC143C	",220,20,60
255,0,0,,,,,,," 	red	","FF0000	",255,0,0
255,99,71,,,,,,," 	tomato	","FF6347	",255,99,71
255,127,80,,,,,,," 	coral	","FF7F50	",255,127,80
205,92,92,,,,,,," 	indian red	","CD5C5C	",205,92,92
240,128,128,,,,,,," 	light coral	","F08080	",240,128,128
233,150,122,,,,,,," 	dark salmon	","E9967A	",233,150,122
250,128,114,,,,,,," 	salmon	","FA8072	",250,128,114
255,160,122,,,,,,," 	light salmon	","FFA07A	",255,160,122
255,69,0,,,,,,," 	orange red	","FF4500	",255,69,0
255,140,0,,,,,,," 	dark orange	","FF8C00	",255,140,0
255,165,0,,,,,,," 	orange	","FFA500	",255,165,0
255,215,0,,,,,,," 	gold	","FFD700	",255,215,0
184,134,11,,,,,,," 	dark golden rod	","B8860B	",184,134,11
218,165,32,,,,,,," 	golden rod	","DAA520	",218,165,32
238,232,170,,,,,,," 	pale golden rod	","EEE8AA	",238,232,170
189,183,107,,,,,,," 	dark khaki	","BDB76B	",189,183,107
240,230,140,,,,,,," 	khaki	","F0E68C	",240,230,140
128,128,0,,,,,,," 	olive	","808000	",128,128,0
255,255,0,,,,,,," 	yellow	","FFFF00	",255,255,0
154,205,50,,,,,,," 	yellow green	","9ACD32	",154,205,50
85,107,47,,,,,,," 	dark olive green	","556B2F	",85,107,47
107,142,35,,,,,,," 	olive drab	","6B8E23	",107,142,35
124,252,0,,,,,,," 	lawn green	","7CFC00	",124,252,0
127,255,0,,,,,,," 	chart reuse	","7FFF00	",127,255,0
173,255,47,,,,,,," 	green yellow	","ADFF2F	",173,255,47
0,100,0,,,,,,," 	dark green	","006400	",0,100,0
0,128,0,,,,,,," 	green	","008000	",0,128,0
34,139,34,,,,,,," 	forest green	","228B22	",34,139,34
0,255,0,,,,,,," 	lime	","00FF00	",0,255,0
50,205,50,,,,,,," 	lime green	","32CD32	",50,205,50
144,238,144,,,,,,," 	light green	","90EE90	",144,238,144
152,251,152,,,,,,," 	pale green	","98FB98	",152,251,152
143,188,143,,,,,,," 	dark sea green	","8FBC8F	",143,188,143
0,250,154,,,,,,," 	medium spring green	","00FA9A	",0,250,154
0,255,127,,,,,,," 	spring green	","00FF7F	",0,255,127
46,139,87,,,,,,," 	sea green	","2E8B57	",46,139,87
102,205,170,,,,,,," 	medium aqua marine	","66CDAA	",102,205,170
60,179,113,,,,,,," 	medium sea green	","3CB371	",60,179,113
32,178,170,,,,,,," 	light sea green	","20B2AA	",32,178,170
47,79,79,,,,,,," 	dark slate gray	","2F4F4F	",47,79,79
0,128,128,,,,,,," 	teal	","008080	",0,128,128
0,139,139,,,,,,," 	dark cyan	","008B8B	",0,139,139
0,255,255,,,,,,," 	aqua	","00FFFF	",0,255,255
0,255,255,,,,,,," 	cyan	","00FFFF	",0,255,255
224,255,255,,,,,,," 	light cyan	","E0FFFF	",224,255,255
0,206,209,,,,,,," 	dark turquoise	","00CED1	",0,206,209
64,224,208,,,,,,," 	turquoise	","40E0D0	",64,224,208
72,209,204,,,,,,," 	medium turquoise	","48D1CC	",72,209,204
175,238,238,,,,,,," 	pale turquoise	","AFEEEE	",175,238,238
127,255,212,,,,,,," 	aqua marine	","7FFFD4	",127,255,212
176,224,230,,,,,,," 	powder blue	","B0E0E6	",176,224,230
95,158,160,,,,,,," 	cadet blue	","5F9EA0	",95,158,160
70,130,180,,,,,,," 	steel blue	","4682B4	",70,130,180
100,149,237,,,,,,," 	corn flower blue	","6495ED	",100,149,237
0,191,255,,,,,,," 	deep sky blue	","00BFFF	",0,191,255
30,144,255,,,,,,," 	dodger blue	","1E90FF	",30,144,255
173,216,230,,,,,,," 	light blue	","ADD8E6	",173,216,230
135,206,235,,,,,,," 	sky blue	","87CEEB	",135,206,235
135,206,250,,,,,,," 	light sky blue	","87CEFA	",135,206,250
25,25,112,,,,,,," 	midnight blue	","191970	",25,25,112
0,0,128,,,,,,," 	navy	","000080	",0,0,128
0,0,139,,,,,,," 	dark blue	","00008B	",0,0,139
0,0,205,,,,,,," 	medium blue	","0000CD	",0,0,205
0,0,255,,,,,,," 	blue	","0000FF	",0,0,255
65,105,225,,,,,,," 	royal blue	","4169E1	",65,105,225
138,43,226,,,,,,," 	blue violet	","8A2BE2	",138,43,226
75,0,130,,,,,,," 	indigo	","4B0082	",75,0,130
72,61,139,,,,,,," 	dark slate blue	","483D8B	",72,61,139
106,90,205,,,,,,," 	slate blue	","6A5ACD	",106,90,205
123,104,238,,,,,,," 	medium slate blue	","7B68EE	",123,104,238
147,112,219,,,,,,," 	medium purple	","9370DB	",147,112,219
139,0,139,,,,,,," 	dark magenta	","8B008B	",139,0,139
148,0,211,,,,,,," 	dark violet	","9400D3	",148,0,211
153,50,204,,,,,,," 	dark orchid	","9932CC	",153,50,204
186,85,211,,,,,,," 	medium orchid	","BA55D3	",186,85,211
128,0,128,,,,,,," 	purple	","800080	",128,0,128
216,191,216,,,,,,," 	thistle	","D8BFD8	",216,191,216
221,160,221,,,,,,," 	plum	","DDA0DD	",221,160,221
238,130,238,,,,,,," 	violet	","EE82EE	",238,130,238
255,0,255,,,,,,," 	magenta / fuchsia	","FF00FF	",255,0,255
218,112,214,,,,,,," 	orchid	","DA70D6	",218,112,214
199,21,133,,,,,,," 	medium violet red	","C71585	",199,21,133
219,112,147,,,,,,," 	pale violet red	","DB7093	",219,112,147
255,20,147,,,,,,," 	deep pink	","FF1493	",255,20,147
255,105,180,,,,,,," 	hot pink	","FF69B4	",255,105,180
255,182,193,,,,,,," 	light pink	","FFB6C1	",255,182,193
255,192,203,,,,,,," 	pink	","FFC0CB	",255,192,203
250,235,215,,,,,,," 	antique white	","FAEBD7	",250,235,215
245,245,220,,,,,,," 	beige	","F5F5DC	",245,245,220
255,228,196,,,,,,," 	bisque	","FFE4C4	",255,228,196
255,235,205,,,,,,," 	blanched almond	","FFEBCD	",255,235,205
245,222,179,,,,,,," 	wheat	","F5DEB3	",245,222,179
255,248,220,,,,,,," 	corn silk	","FFF8DC	",255,248,220
255,250,205,,,,,,," 	lemon chiffon	","FFFACD	",255,250,205
250,250,210,,,,,,," 	light golden rod yellow	","FAFAD2	",250,250,210
255,255,224,,,,,,," 	light yellow	","FFFFE0	",255,255,224
139,69,19,,,,,,," 	saddle brown	","8B4513	",139,69,19
160,82,45,,,,,,," 	sienna	","A0522D	",160,82,45
210,105,30,,,,,,," 	chocolate	","D2691E	",210,105,30
205,133,63,,,,,,," 	peru	","CD853F	",205,133,63
244,164,96,,,,,,," 	sandy brown	","F4A460	",244,164,96
222,184,135,,,,,,," 	burly wood	","DEB887	",222,184,135
210,180,140,,,,,,," 	tan	","D2B48C	",210,180,140
188,143,143,,,,,,," 	rosy brown	","BC8F8F	",188,143,143
255,228,181,,,,,,," 	moccasin	","FFE4B5	",255,228,181
255,222,173,,,,,,," 	navajo white	","FFDEAD	",255,222,173
255,218,185,,,,,,," 	peach puff	","FFDAB9	",255,218,185
255,228,225,,,,,,," 	misty rose	","FFE4E1	",255,228,225
255,240,245,,,,,,," 	lavender blush	","FFF0F5	",255,240,245
250,240,230,,,,,,," 	linen	","FAF0E6	",250,240,230
253,245,230,,,,,,," 	old lace	","FDF5E6	",253,245,230
255,239,213,,,,,,," 	papaya whip	","FFEFD5	",255,239,213
255,245,238,,,,,,," 	sea shell	","FFF5EE	",255,245,238
245,255,250,,,,,,," 	mint cream	","F5FFFA	",245,255,250
112,128,144,,,,,,," 	slate gray	","708090	",112,128,144
119,136,153,,,,,,," 	light slate gray	","778899	",119,136,153
176,196,222,,,,,,," 	light steel blue	","B0C4DE	",176,196,222
230,230,250,,,,,,," 	lavender	","E6E6FA	",230,230,250
255,250,240,,,,,,," 	floral white	","FFFAF0	",255,250,240
240,248,255,,,,,,," 	alice blue	","F0F8FF	",240,248,255
248,248,255,,,,,,," 	ghost white	","F8F8FF	",248,248,255
240,255,240,,,,,,," 	honeydew	","F0FFF0	",240,255,240
255,255,240,,,,,,," 	ivory	","FFFFF0	",255,255,240
240,255,255,,,,,,," 	azure	","F0FFFF	",240,255,255
255,250,250,,,,,,," 	snow	","FFFAFA	",255,250,250
0,0,0,,,,,,," 	black	","000000	",0,0,0
105,105,105,,,,,,," 	dim gray / dim grey	","696969	",105,105,105
128,128,128,,,,,,," 	gray / grey	","808080	",128,128,128
169,169,169,,,,,,," 	dark gray / dark grey	","A9A9A9	",169,169,169
192,192,192,,,,,,," 	silver	","C0C0C0	",192,192,192
211,211,211,,,,,,," 	light gray / light grey	","D3D3D3	",211,211,211
220,220,220,,,,,,," 	gainsboro	","DCDCDC	",220,220,220
245,245,245,,,,,,," 	white smoke	","F5F5F5	",245,245,245
255,255,255,,,,,,," 	white	","FFFFFF	",255,255,255
